condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_25w_28w,pregnancy_duration_preterm,length,3m,360,279,58.2045014797347,3.12699404341788,52.5,56.5,58.5,60.5,63
nvp_25w_28w,pregnancy_duration_preterm,length,6m,360,286,65.3336892195495,2.97357867555968,60.5,63.2,65.5,67.5,70
nvp_25w_28w,pregnancy_duration_preterm,length,8m,360,249,69.4964297859696,3.03380503150615,64,67.5,69.7900742459749,71.5,74
nvp_25w_28w,pregnancy_duration_preterm,length,1y,360,253,74.90730184523,3.07254916749586,70,73,75.3,77,79.7
nvp_25w_28w,pregnancy_duration_preterm,length,16m,360,201,79.5377696701133,3.39861613889249,74,77.5,79.5,81.6,84.0030937788375
nvp_25w_28w,pregnancy_duration_preterm,length,2y,360,199,87.3082371994337,3.75594150841064,80.47,85,87.1974025974026,90,92.8033711262283
nvp_25w_28w,pregnancy_duration_preterm,length,3y,360,200,95.5139340279546,3.99692165921377,89,92.9426117322308,96,98,101525
nvp_25w_28w,pregnancy_duration_preterm,length,5y,360,172,111.592135078557,5.3047720802349,103.55,108,111.238175278141,115,120
nvp_25w_28w,pregnancy_duration_preterm,length,7y,360,182,125.204584478022,5.82985617008729,116,121.25,125,129,135
nvp_25w_28w,pregnancy_duration_preterm,length,8y,360,149,131.73652616669,5.71253394885176,122.4,128,131.314475463375,135,140.6
nvp_25w_28w,pregnancy_duration_preterm,weight,birth,360,354,2.54977683615819,0.579118107917553,1.5741,2.17,2.5455,2.8745,3.54305
nvp_25w_28w,pregnancy_duration_preterm,weight,6w,360,262,3.87751526717557,0.837757990088779,2.6605,3.27625,3.8375,4.4375,5.38275
nvp_25w_28w,pregnancy_duration_preterm,weight,3m,360,286,5.43317832084997,0.960858980129832,3.7025,4.78,5475,6.0075,6.96125
nvp_25w_28w,pregnancy_duration_preterm,weight,6m,360,288,7.20275550122484,1.04034960512579,5.51375,6.56125,7.2075,7.86625,9
nvp_25w_28w,pregnancy_duration_preterm,weight,8m,360,253,8.28698319969953,1.17540336571155,6472,7575,8.17,9075,10258
nvp_25w_28w,pregnancy_duration_preterm,weight,1y,360,256,9.55978581424267,1.27311920989964,7.7375,8.75625,9.44,10.2750180813713,11.9
nvp_25w_28w,pregnancy_duration_preterm,weight,16m,360,202,10.571577044146,1.38505958843767,8477,9.6,10.4604644732855,11.4847006322761,12.7798894471969
nvp_25w_28w,pregnancy_duration_preterm,weight,2y,360,200,12.4270366288858,1.72307540369998,9.7684042066341,11.1557143371764,12.5,13.6183445147887,15.0235
nvp_25w_28w,pregnancy_duration_preterm,weight,3y,360,204,14.5747423783591,2.04036583874408,11.2228335098705,13.2,14.5,16,18
nvp_25w_28w,pregnancy_duration_preterm,weight,5y,360,170,19.3531642021796,3.00594285776752,15,17.2180872323553,19,21,24.498487389257
nvp_25w_28w,pregnancy_duration_preterm,weight,7y,360,180,25.0660454779284,4.4237585331462,19,22,24.75,27475,33
nvp_25w_28w,pregnancy_duration_preterm,weight,8y,360,145,28.4050141117827,5.67518176846561,21,25,27,31.3,40.42
nvp_25w_28w,pregnancy_duration_preterm,bmi,birth,360,302,12.0662484455513,1.64754135787805,9.33662688965633,11.0880534202844,12.0260507829821,13.0288212267838,14.7734807259444
nvp_25w_28w,pregnancy_duration_preterm,bmi,6w,360,193,14.2579556988665,1.65773065006147,11656,13.24,14.1484044598231,15.1997041420118,17.2076322863136
nvp_25w_28w,pregnancy_duration_preterm,bmi,3m,360,279,15.97810278757,1.65115540841899,13.6331454031575,14.8062013003153,16.0701699428303,17.0534812051245,18.5578731097962
nvp_25w_28w,pregnancy_duration_preterm,bmi,6m,360,286,16.8601329060718,1.50021130841113,14.5388835785352,15.7235721247864,16.8455918396985,17.9011896051987,19.3065549749311
nvp_25w_28w,pregnancy_duration_preterm,bmi,8m,360,249,17.1399098221612,1.57232556264376,14.7680441497276,15.9647238396744,17.1052631578947,18.1444636678201,19.6741709577488
nvp_25w_28w,pregnancy_duration_preterm,bmi,1y,360,253,16.9981967698025,1.50603568760349,14.7171765871067,16.0735368527576,16.9450178269844,17.9647369151742,19.4992209546696
